fp.3.Luci_03G08.ctg.ctg7180000034479 fp.2.Luci_02H12.ctg.ctg7180000019811
fp.3.Luci_81B09.ctg.jtg7180000051985r_7180000089832f fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_03G05.ctg.ctg7180000026141 fp.2.Luci_02H12.ctg.ctg7180000019925
fp.3.Luci_03G09.ctg.ctg7180000023926 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_81D01.ctg.jtg7180000303952f_7180000303953f fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_15E12.ctg.ctg7180000197970 fp.2.Luci_02H12.ctg.ctg7180000020356
fp.3.Luci_01F04.ctg.ctg7180000021506 fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_01E01.ctg.ctg7180000208396 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_51F06.ctg.ctg7180000268433 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_13B07.ctg.ctg7180000115864 fp.2.Luci_02H12.ctg.ctg7180000019945
fp.3.Luci_02H03.ctg.ctg7180000052118 fp.2.Luci_02H12.ctg.ctg7180000019730
fp.2.Luci_18H07.ctg.ctg7180000204768 fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_05H07.ctg.ctg7180000115352 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_01G05.ctg.ctg7180000087352 fp.2.Luci_02H12.ctg.ctg7180000019968
fp.3.Luci_01E01.ctg.ctg7180000208152 fp.2.Luci_02H12.ctg.ctg7180000019686
fp.3.Luci_12F10.ctg.ctg7180000172588 fp.2.Luci_02H12.ctg.ctg7180000020264
fp.3.Luci_17D12.ctg.ctg7180000136198 fp.2.Luci_02H12.ctg.ctg7180000020569
fp.3.Luci_81C01.ctg.ctg7180000106183 fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_06A02.ctg.ctg7180000057369 fp.2.Luci_02H12.ctg.ctg7180000020495
